Primary_Name,Galaxy,Magnitude,RA_deg,DEC_deg,Angular_Size,Distance from Earth (Mpc),Distance_Modulus,Aliases
Sculptor Dwarf Galaxy,"Sculptor Galaxy 
(NGC 253)",8.0,15.0392,-33.7089,15.26669979095459,3.4952558916000003,27.717394882156263,"['Anon 0057-33', 'ESO 351-30', 'ESO-LV 351-0300', 'GLXY G290.6-82.8+95', 'GLXY G286.3-83.5+91', 'IRAS F00574-3400', 'LEDA 3589', 'MCG-06-03-015', 'Sculptor de', 'Sculptor dSph', 'Scl dSph', '[FG85] 28', 'SGC 005747-3358.7', 'Scl Galaxy', 'Sculptor Galaxy', 'Scl Dwarf Galaxy', 'Sculptor Dwarf Galaxy', 'Sculptor Dwarf Elliptical Gal', 'Sculptor Dwarf Spheroidal', 'Sculptor Dwarf Elliptical']"
M 82,Messier 82,9.3,148.968458,69.679703,,3.5013879194800004,27.721201145023045,"['RFC J0955+6940', 'FL8Y J0955.7+6940', 'PCCS1 030 G141.43+40.58', '2MFGC 7685', 'S4 0951+699', '1AXG J095549+6940', '1Jy 0951+69', '1Jy 0951+699', '2E 2197', '3C 231.0', '3C 231', '3CR 231', '4C 69.12', '4U 1004+70', 'APG 337', 'BWE 0951+6954', 'DA 277', 'GB6 B0951+6955', 'HIJASS J0955+69B', 'INTREF 396', 'IRAS F09517+6954', 'IRAS 09517+6954', 'KPG 218b', 'LEDA 28655', 'M 82', 'MCG+12-10-011', 'UMa A', 'NGC 3034', 'NRAO 341', 'NVSS J095551+694046', 'PRC D-13', 'QSO B0951+699', 'RAFGL 1388', 'RBS 809', 'RX J095550+69406', 'S4 0951+69', 'UGC 5322', 'UT 0951+699', 'WB 0951+6954', 'Z 333-8', '[B93] 14', '[DML87] 745', '[DSL2000] 0951+700', '[R97] NGC 3031 1', '[RPS97] NGC 3034 2', '[SPS97] 8', '[VDD93] 100', '[WZX98] 09517+6954', '2MASX J09555243+6940469', '1E 0951+69.8', '1ES 0951+69.9', '1RXS J095550.4+694052', '2E 0951.7+6955', '87GB 095143.5+695452', 'CXOM82 J095549.7+694043', 'RGB J0955.9+6940', 'RX J0955.8+6940', 'WN B0951.7+6954', 'WN B0951.7+6954A', 'Z 0951.7+6955', '[CHM2007] HDC 552 J095552.43+6940469', '[CHM2007] LDC 842 J095552.43+6940469', '[M98c] 095145.3+695511', '[TSA98] J095541.25+693927.31', '[ZEH2003] RX J0955.8+6940 1', 'UZC J095557.0+694110', 'PSCz Q09517+6954', '1FGL J0956.5+6938', 'PBC J0955.7+6941', 'PLCKERC -100 G141.42+40.57', 'JVAS J0955+6940', '[BAG2012] 148.9211+69.6846', '2FGL J0955.9+6936', 'SDSS J095551.73+694048.6', 'WMAP J0955+6940', '6C 095143+695502', '7C 095143.50+695500.00', '8C 0951+699', 'RGB J0955+696', '[CAB95] IRAS F09517+6954', 'VLSS J0955.8+6940', '[NKB95] N3034', 'Cigar Galaxy', '3FGL J0955.4+6940', 'SWIFT J0956.1+6942', 'TeV J0955+696', '3FHL J0955.8+6939', '9Y-MST J0955+6939', '4FGL J0955.7+6940']"
NGC 5253,NGC 5253,10.9,204.983292,-31.640031,2.1470000743865967,3.52898204494,27.738247243622855,"['[QPD2020] G133955.9-313832', 'HIPASS J1339-31a', 'SINGG HIPASS J1339-31a', 'PMN J1339-3138', '6dFGS gJ133956.0-313824', 'NVSS J133955-313827', 'AM 1337-312', 'CSI-31-13371', 'ESO 445-4', 'ESO-LV 445-0040', 'FAUST 3862', 'GLXY G314.9+30.1+411', 'HIDEEP J1339-3138', 'IRAS 13370-3123', 'IRAS F13370-3123', 'ISOSS J13399-3138', 'KOS NP5 1', 'KOS 133737.0+283911', 'LEDA 48334', 'MCG-05-32-060', 'NGC 5253', 'QDOT B1337045-312314', 'SCHG 1337-313', 'SPB 229', 'UGCA 369', '[BBW2000] FM 58', '[DAM86] 120', '[DML87] 325', '[DSB94] 59', '[H56] 10', '[M98c] 133705.0-312330', '[R84] A1-377', '[SLK2004] 879', '[VV2006c] J133956.0-313824', '2MASX J13395599-3138241', 'JCMTSE J133956.0-313830', 'JCMTSF J133956.0-313830', 'SGC 133705-3123.5', '[CHM2007] HDC 813 J133955.99-3138241', '[CHM2007] LDC 993 J133955.99-3138241', '[VV2000c] J133955.8-313835', '[VV2003c] J133955.8-313835', '[VV98c] J133955.8-313835', 'PSCz Q13370-3123', '[VV2010c] J133956.0-313824', 'SUMSS J133955-313827']"
NGC 2976,NGC 2976,10.82,146.814408,67.916381,4.0526299476623535,3.5596421843400003,27.75703172416677,"['BWE 0943+6808', 'HIJASS J0947+67', 'IRAS 09431+6809', 'IRAS F09431+6809', 'KUG 0943+681', 'LEDA 28120', 'MCG+11-12-025', 'NGC 2976', 'SPB 108', 'TC 516', 'UGC 5221', 'Z 312-23', '[B93] 9', '[M98c] 094310.0+680843', '[MI94] Sm 42', '[VDD93] 95', '2MASX J09471545+6754589', 'GB6 B0943+6809', '2MASXI J0947167+675449', '[CHM2007] LDC 842 J094715.45+6754589', '87GB 094307.5+680848', 'Z 0943.1+6809', '[CHM2007] HDC 552 J094715.45+6754589', 'UZC J094715.3+675500', 'PSCz Q09431+6809', 'SDSS J094715.30+675500.1']"
LEDA 28731,KDG 61,14.93,149.2612,68.5917,1.906999945640564,3.58110428192,27.770084839355803,"['Anon 0951+68', 'HIJASS J0957+68', 'K68 61', 'LEDA 28731', 'Mailyan 47', '[B93] 16', '[KK98a] 81', '[KK98a] 095300.8+684947']"
NGC 4945,NGC 4945,9.3,196.363663,-49.4679,20.420000076293945,3.5872363098,27.77379993420471,"['[HSN2016] J196.36-49.46', 'SRGA J130526.0-492816', 'FL8Y J1305.4-4928', 'LVHIS 043', 'SPASS J130526-492822', 'TGSSADR J130527.7-492803', 'HIPASS J1305-49', '2MFGC 10410', 'SWIFT J1305.4-4928', '[KRL2007b] 133', 'PMN J1305-4928', '1RXS J130528.0-492758', 'ESO 219-24', 'ESO-LV 219-0240', 'GLXY G305.2+13.3+455', 'INTREF 541', 'IRAS F13025-4912', 'IRAS 13025-4911', 'LEDA 45279', 'MOST 1302-492', 'MRC 1302-492', 'MRC 1302-491', 'MSH 13-4-01', 'NGC 4945', 'PKS 1302-49', 'PKS 1302-492', 'PKS J1305-4928', 'RX J130526-49289', 'XSS J13073-4926', '[DML87] 666', '[HB91] 1302-491', '[M98c] 130231.0-491212', '[VDD93] 177', '2MASX J13052727-4928044', 'WMAP J1305-4928', '6dFGS gJ130527.3-492805', 'RX J1305.4-4928', 'SGC 130231-4912.2', '[CHM2007] HDC 790 J130527.27-4928044', '[CHM2007] LDC 993 J130527.27-4928044', '[VV2000c] J130527.6-492803', '[VV2003c] J130527.6-492803', '[VV2006c] J130527.6-492803', '[VV98c] J130527.6-492803', 'PSCz Q13025-4911', 'WMAP J1305-4930', 'PBC J1305.4-4928', '1FGL J1305.4-4928', '[VV2010c] J130527.6-492803', 'SWIFT J1305.2-4928', 'AT20G J130527-492804', 'SUMSS J130527-492805', '2XMM J130527.3-492804', '[MEM2008] 174', 'AT20G J130527.4-492804', '2FGL J1305.8-4925', 'WMAP J1305-4934', 'SUMSS J130527-492806', '3FGL J1305.4-4926', '3XMM J130527.4-492804', '3FHL J1305.4-4927', '4FGL J1305.4-4928']"
NGC 6789,NGC 6789,13.76,289.171537,63.973306,1.342419981956482,3.5995003655600004,27.78121111003188,"['HKK L147', 'LEDA 63000', 'MCG+11-23-001', 'NGC 6789', 'UGC 11425', 'VV 414', 'Z 323-11', '[KK98a] 191617.0+635254', '[KK98a] 245', '2MASX J19164116+6358238', 'Z 1916.3+6354', 'UZC J191641.9+635818', 'SDSS J191641.39+635817.8']"
M 81,Messier 81,6.94,148.88821939854,69.06529514038,21.3799991607666,3.5995003655600004,27.78121111003188,"['RFC J0955+6903', 'TGSSADR J095533.1+690354', 'Gaia DR3 1070470609404512512', 'HD 85534', 'BD+69 543', '[LB2005] NGC 3031 X1', '2E 2195', 'HIJASS J0955+69A', 'IERS B0951+693', 'IRAS F09514+6918', 'IRAS 09514+6918', 'K79 28A', 'KPG 218a', 'LEDA 28630', 'M 81', 'MCG+12-10-010', 'M 81*', 'NGC 3031', 'RBS 808', 'RORF 0951+693', 'RX J095532+69038', 'SPB 115', 'TC 714', 'Gaia DR1 1070470605109644672', 'UGC 5318', 'Z 333-7', '[B93] 13', '[BAZ94] 3', '[DML87] 630', '[VDD93] 99', '2MASX J09553318+6903549', '1ES 0951+69.3', '1RXP J095532.8+690354', '1RXS J095534.7+690338', '2E 0951.4+6918', 'EXO 0951.3+6917', 'ICRF J095533.1+690355', 'RX J0955.5+6903', 'RX J095533.4+690353', 'Z 0951.4+6918', '[CHM2007] HDC 552 J095533.18+6903549', '[CHM2007] LDC 842 J095533.18+6903549', '[M98c] 095127.6+691813', '[VV2000c] J095533.2+690355', '[VV2003c] J095533.2+690355', '[VV2006] J095533.2+690355', '[VV98c] J095533.2+690355', '[ZEH2003] RX J0955.5+6903 1', 'UZC J095535.5+690352', 'PSCz Q09514+6918', '[VV2010] J095533.2+690355', '87GB 095125.0+691806', 'GB6 B0951+6918', 'NVSS J095533+690355', 'WN B0951.4+6918', '2XMM J095533.1+690355', 'SDSS J095533.16+690355.1', '[BAG2012] 149.0083+69.0811', 'XMMSL1 J095534.3+690350', 'SDSS J095533.14+690355.2', 'BWE 0951+6918', 'RGB J0955+690', '[CAB95] IRAS F09514+6918', '[NKB95] N3031', ""Bode's Galaxy"", 'SWIFT J0955.5+6907', 'SWIFT J0955.9+6905', 'Gaia DR2 1070470609404512512']"
UGC 6451,UGC 6451,15.4,172.1895,79.60083,0.7699869871139526,3.5995003655600004,27.78121111003188,"['LEDA 35264', 'MCG+13-08-061', 'UGC 6451']"
LEDA 29231,BK 5N,17.49,151.1679,68.2556,0.8700000047683716,3.63016050496,27.79962913740841,"['BK 5N', 'K68 5N', 'LEDA 29231', '[B93] 20']"
F8D1,F8D1,15.7,146.1962,67.4386,1.9420000314712524,3.66082064436,27.81789225944065,"['LEDA 3097827', 'F8D1', '[CAD98] F8D1']"
